timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger,real_system_time
10125962564200,687.829,480.944,4.69145,85.2197,104.012,-541.656,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.6927,55.6927,1,990.104,508.651,4.71587,150.594,102.248,-543.994,2.8304,-1.16786,0.0493695,-0.0203816,-0.0203816,55.6927,55.6927,1,838.966,494.797,1,0,2025-03-27 13:35:20.962564200
10125967516300,688.259,481.159,4.69553,85.2964,104.032,-541.415,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.6731,55.6731,1,990.402,490.011,4.74886,150.662,102.256,-543.826,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.6731,55.6731,1,839.331,485.585,1,0,2025-03-27 13:35:20.967516300
10125972167700,688.259,481.159,4.69553,85.2964,104.032,-541.415,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.6731,55.6731,1,990.402,490.011,4.74886,150.662,102.256,-543.826,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.6731,55.6731,1,839.331,485.585,1,0,2025-03-27 13:35:20.972167700
10125977110300,688.598,484.922,4.70138,85.3843,104.057,-541.207,4.02119,-1.81006,0.0700905,-0.0315863,-0.0315863,55.6499,55.6499,1,990.891,490.549,4.76195,150.735,102.281,-543.553,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.6499,55.6499,1,839.744,487.735,1,0,2025-03-27 13:35:20.977110300
10125982040900,688.598,484.922,4.70138,85.3843,104.057,-541.207,4.02119,-1.81006,0.0700905,-0.0315863,-0.0315863,55.6499,55.6499,1,990.891,490.549,4.76195,150.735,102.281,-543.553,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.6499,55.6499,1,839.744,487.735,1,0,2025-03-27 13:35:20.982040900
10125986755900,688.427,484.887,4.6484,85.4889,104.084,-540.936,4.00972,-1.81006,0.0698908,-0.0315863,-0.0315863,55.6236,55.6236,1,991.296,490.396,4.73745,150.832,102.315,-543.281,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.6236,55.6236,1,839.861,487.642,1,0,2025-03-27 13:35:20.986755900
10125991871700,688.427,484.887,4.6484,85.4889,104.084,-540.936,4.00972,-1.81006,0.0698908,-0.0315863,-0.0315863,55.6236,55.6236,1,991.296,490.396,4.73745,150.832,102.315,-543.281,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.6236,55.6236,1,839.861,487.642,1,0,2025-03-27 13:35:20.991871700
10125996514900,688.978,484.814,4.64788,85.5895,104.084,-540.754,4.00972,-1.81006,0.0698908,-0.0315863,-0.0315863,55.6172,55.6172,1,991.876,490.421,4.72716,150.929,102.249,-543.311,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.6172,55.6172,1,840.427,487.617,1,0,2025-03-27 13:35:20.996514900
10126001334200,688.978,484.814,4.64788,85.5895,104.084,-540.754,4.00972,-1.81006,0.0698908,-0.0315863,-0.0315863,55.6172,55.6172,1,991.876,490.421,4.72716,150.929,102.249,-543.311,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.6172,55.6172,1,840.427,487.617,1,0,2025-03-27 13:35:21.001334200
10126006300400,689.476,484.748,4.614,85.7128,104.06,-540.626,4.00972,-1.81006,0.0698908,-0.0315863,-0.0315863,55.5994,55.5994,1,992.327,490.139,4.71695,151.041,102.234,-543.049,2.8304,-1.51375,0.0493625,-0.0264169,-0.0264169,55.5994,55.5994,1,840.901,487.444,1,0,2025-03-27 13:35:21.006300400
